kind,id,slug,instructor,title,pub_date,skill_level,access_control,has_path,comments,comments_l30d,parsed_dependencies,source_article_slug,in_progress,in_progress_l30d,completed,completed_l30d,bookmarked,bookmarked_l30d,bookmarked_lessons,bookmarked_lessons_l30d,viewed,viewed_l30d,completion_rate,completion_rate_l30d,bookmark_rate,bookmark_rate_l30d,liked_count,disliked_count,total_count,liked_ratio,star_rating
course,8,using-jupyter-notebooks,mbreuss,Using Jupyter Notebooks,2019-03-01,intermediate,members-only,True,102,0,{},jupyter-notebook-introduction,5442,117,5423,74,34,3,350,2,9194,168,0.5898412007831194,0.44047619047619047,0.0036980639547531,0.017857142857142856,125,3,128,0.9765625,4.8828125
course,128,django-portfolio-project,mbreuss,Getting Started With Django: Building a Portfolio App,2019-10-08,basics,members-only,True,921,0,{},get-started-with-django-1,16760,18,11927,11,54,0,1154,0,20667,22,0.5771035951033048,0.5,0.00261286108288576,0.0,176,4,180,0.9777777777777777,4.888888888888888
course,203,variables-python,mbreuss,Variables in Python,2019-12-10,basics,members-only,True,133,0,{},python-variables,4477,41,4904,43,12,0,334,4,7671,69,0.6392908356146526,0.6231884057971014,0.001564333202972233,0.0,105,3,108,0.9722222222222222,4.861111111111111
course,217,finding-perfect-python-code-editor,mbreuss,Finding the Perfect Python Code Editor,2020-02-18,basics,members-only,True,55,0,{},python-ides-code-editors-guide,4109,14,3334,16,19,0,287,6,5313,22,0.6275174101261057,0.7272727272727273,0.0035761340109166195,0.0,40,0,40,1.0,5.0
course,316,web-scraping-beautiful-soup,mbreuss,Web Scraping With Beautiful Soup and Python,2020-10-13,intermediate,members-only,True,44,0,{},beautiful-soup-web-scraper-python,3729,15,2764,9,21,1,241,0,5047,20,0.5476520705369526,0.45,0.004160887656033287,0.05,26,3,29,0.896551724137931,4.482758620689655
course,413,set-up-django-project,mbreuss,How to Set Up a Django Project,2021-05-25,basics,members-only,True,10,0,{},django-setup,1104,20,890,17,11,0,105,2,1610,28,0.5527950310559007,0.6071428571428571,0.0068322981366459624,0.0,25,0,25,1.0,5.0
course,455,python-sleep-uptime-bot,mbreuss,Using sleep() to Code a Python Uptime Bot,2021-08-03,intermediate,members-only,False,4,0,{},python-sleep,484,2,386,2,4,0,23,1,759,4,0.5085638998682477,0.5,0.005270092226613966,0.0,5,0,5,1.0,5.0
course,460,graph-data-with-python-and-ggplot,mbreuss,Graph Your Data With Python and ggplot,2021-09-07,intermediate,members-only,True,3,0,{},ggplot-python,884,1,497,0,10,0,39,0,1104,1,0.45018115942028986,0.0,0.009057971014492754,0.0,8,0,8,1.0,5.0
course,500,writing-idiomatic-python,mbreuss,Writing Idiomatic Python,2021-10-26,basics,members-only,True,7,0,{},,1974,12,1832,19,12,0,133,2,3134,27,0.5845564773452457,0.7037037037037037,0.0038289725590299937,0.0,24,0,24,1.0,5.0
course,501,reading-input-writing-output-python,mbreuss,Reading Input and Writing Output in Python,2021-11-02,basics,members-only,True,6,0,{},python-input-output,1659,19,2164,27,18,0,72,1,3132,36,0.6909323116219668,0.75,0.005747126436781609,0.0,47,0,47,1.0,5.0
course,507,raising-handling-exceptions,mbreuss,Raising and Handling Python Exceptions,2021-12-21,basics,members-only,True,10,0,{},python-exceptions,2098,19,1902,30,24,0,135,2,3243,44,0.5864939870490287,0.6818181818181818,0.0074005550416281225,0.0,34,2,36,0.9444444444444444,4.722222222222222
course,559,exploring-scopes-and-closures-in-python,mbreuss,Exploring Scopes and Closures in Python,2022-05-24,intermediate,members-only,False,1,0,{},,608,2,550,1,13,0,71,1,1027,3,0.5355404089581305,0.3333333333333333,0.012658227848101266,0.0,14,3,17,0.8235294117647058,4.117647058823529
