kind,id,url,slug,pub_date,created_at,title,author,contributors,owner,keyphrase,has_quiz,quiz_slugs,has_course,course_slugs,has_path,word_count,categories,dependencies,bookmarks,bookmarks_l30d,in_progress,in_progress_l30d,completed,completed_l30d,avg_progress,avg_progress_l30d,total_view_time,total_view_time_l30d,avg_view_time,avg_view_time_l30d,median_progress,median_progress_l30d,median_view_time,median_view_time_l30d,viewed,viewed_l30d,completion_rate,completion_rate_l30d,bookmark_rate,bookmark_rate_l30d,liked_count,disliked_count,total_count,liked_ratio,star_rating
article,59,https://realpython.com/web-scraping-with-scrapy-and-mongodb/,web-scraping-with-scrapy-and-mongodb,2024-08-28,2018-01-03T16:57:47.466103+00:00,Web Scraping With Scrapy and MongoDB,mbreuss,"gahjelle, asantos, bzaczynski, kfinegan, bweleschuk",mbreuss,scrapy,True,web-scraping-with-scrapy-and-mongodb,False,,True,11532,"databases, intermediate, web-scraping","{""python"": ""3.12"", ""pymongo"": ""4.8.0"", ""scrapy"": ""2.11.2""}",220,1,5849,80,81,2,0.6035661822903479,0.4601781753130592,2915474.570363,60433.573835,468.725815,702.715975,0.6153846153846154,0.3269230769230769,90.721598,84.142849,5930,82,0.013659359190556492,0.024390243902439025,0.03709949409780776,0.012195121951219513,15,2,17,0.8823529411764706,4.411764705882353
article,80,https://realpython.com/asynchronous-tasks-with-django-and-celery/,asynchronous-tasks-with-django-and-celery,2024-12-08,2018-01-03T17:26:00.416418+00:00,Asynchronous Tasks With Django and Celery,mbreuss,"mherman, gahjelle, asantos, bzaczynski, pacsany, kfinegan, bweleschuk",mbreuss,django celery,False,,True,asynchronous-tasks-celery-django,False,6217,"advanced, databases, django, seo-optimized, web-dev","{""python"": ""3.13.0"", ""django"": ""5.1.3"", ""celery"": ""5.4.0"", ""redis"": ""5.2.0""}",482,2,18390,68,252,1,0.725939995890393,0.6517662698412697,9200113.965649,22350.939926,484.599103,310.429721,0.8461538461538461,0.7857142857142857,174.730966,87.251878,18642,69,0.013517862890247827,0.014492753623188406,0.025855594893251798,0.028985507246376812,109,2,111,0.9819819819819819,4.90990990990991
article,90,https://realpython.com/python-web-applications/,python-web-applications,2021-02-01,2018-01-03T17:29:44.596712+00:00,Python Web Applications: Deploy Your Script as a Flask App,mbreuss,"gahjelle, jjablonski, asantos, bzaczynski, jschmitt",mbreuss,python web application,False,,True,deploy-python-script-web-flask,True,10265,"devops, flask, intermediate, web-dev",{},434,2,14794,81,174,1,0.5896352406154773,0.5564368401759529,7560326.603416,35227.138263,491.057846,400.308389,0.5483870967741935,0.5161290322580645,123.67772,109.156149,14968,82,0.011624799572421166,0.012195121951219513,0.028995189738107965,0.024390243902439025,29,2,31,0.9354838709677419,4.677419354838709
article,92,https://realpython.com/python-virtual-environments-a-primer/,python-virtual-environments-a-primer,2024-11-30,2018-01-03T17:30:04.684448+00:00,Python Virtual Environments: A Primer,mbreuss,"dbader, mherman, gahjelle, jjablonski, asantos, bzaczynski, kfinegan, bweleschuk",mbreuss,python virtual environment,True,python-virtual-environments-a-primer,True,working-python-virtual-environments,True,17787,"devops, evergreen, intermediate, seo-optimized, tools","{""python"": ""3.12"", ""minimum-python"": ""3.3""}",1743,11,58949,451,906,8,0.4334575705253737,0.370749178624443,26558591.195406,222649.033397,434.01355,473.721348,0.3076923076923077,0.18604651162790697,124.299211,134.699348,59855,459,0.015136580068498872,0.017429193899782137,0.02912037423774121,0.023965141612200435,133,4,137,0.9708029197080292,4.854014598540147
article,104,https://realpython.com/instance-class-and-static-methods-demystified/,instance-class-and-static-methods-demystified,2025-03-17,2018-01-03T17:33:24.365506+00:00,"Python's Instance, Class, and Static Methods Demystified",mbreuss,"dbader, gahjelle, asantos, sgruppetta, bweleschuk",mbreuss,instance methods vs class methods,True,instance-class-and-static-methods-demystified,True,python-method-types,True,3621,"intermediate, python","{""python"": ""3.13""}",1052,13,29903,188,956,2,0.7338150240841339,0.5448055555555551,9387995.688443,49066.623652,297.502715,247.811231,0.75,0.625,123.049276,68.959974,30859,190,0.030979616967497327,0.010526315789473684,0.034090540847078646,0.06842105263157895,85,7,92,0.9239130434782609,4.619565217391305
article,110,https://realpython.com/modern-web-automation-with-python-and-selenium/,modern-web-automation-with-python-and-selenium,2025-04-30,2018-01-17T14:08:45.691000+00:00,Modern Web Automation With Python and Selenium,mbreuss,"dbader, cokeefe, gahjelle, jjablonski, asantos, bzaczynski, bweleschuk",mbreuss,python selenium,True,python-selenium,False,,True,13153,"ai-assisted, intermediate, projects, testing, web-scraping","{""python"": ""3.13"", ""minimum-python"": ""3.10"", ""selenium"": ""4.29.0""}",369,12,11320,134,119,1,0.6050209489755143,0.41945283495846875,3252637.525016,70900.563516,276.914484,499.299743,0.625,0.3333333333333333,74.226144,100.554605,11439,135,0.010403007255879011,0.007407407407407408,0.03225806451612903,0.08888888888888889,14,7,21,0.6666666666666666,3.333333333333333
article,145,https://realpython.com/interacting-with-python/,interacting-with-python,2024-11-18,2018-03-22T02:25:15.125637+00:00,Interacting With Python,mbreuss,"dbader, jsturtz, gahjelle, jjablonski, asantos, sgruppetta, bweleschuk",bzaczynski,interacting with python,True,interacting-with-python,True,interactive-python,True,4280,"basics, evergreen, python","{""python"": ""3.13""}",1037,0,16536,69,2985,2,0.667480117692321,0.5833124999999999,5269120.626766,7699.950449,264.262031,106.943756,0.8,0.5,85.46697,10.880278,19521,71,0.152912248347933,0.028169014084507043,0.053122278571794475,0.0,45,1,46,0.9782608695652174,4.891304347826087
article,157,https://realpython.com/python-input-output/,python-input-output,2024-12-02,2018-03-23T01:28:28.270272+00:00,Basic Input and Output in Python,mbreuss,"jsturtz, gahjelle, kstratis, jjablonski, asantos, bzaczynski, pacsany, kfinegan, bweleschuk",mbreuss,python input output,True,python-input-output,True,reading-input-writing-output-python,True,3495,"basics, python",{},375,4,8478,63,587,1,0.6301787261282028,0.6742121212121209,2287001.565875,10243.458466,243.998887,155.203916,0.8333333333333334,0.8333333333333334,45.913802,63.006822,9065,64,0.06475455046883619,0.015625,0.04136789851075565,0.0625,15,1,16,0.9375,4.6875
article,177,https://realpython.com/django-setup/,django-setup,2021-07-21,2018-06-11T01:22:38.321367+00:00,Your First Steps With Django: Set Up a Django Project,mbreuss,"mherman, jjablonski, asantos, acutenco, bzaczynski, jschmitt",mbreuss,start django project,False,,True,set-up-django-project,False,2061,"basics, best-practices, django, featured, web-dev",{},384,1,9192,24,432,1,0.7080021400970485,0.6474089743589745,2219186.433339,4413.527548,219.873817,169.75106,0.8333333333333334,0.6666666666666666,67.120207,31.712762,9624,25,0.04488778054862843,0.04,0.0399002493765586,0.04,38,0,38,1.0,5.0
article,361,https://realpython.com/beautiful-soup-web-scraper-python/,beautiful-soup-web-scraper-python,2024-12-01,2019-07-06T04:45:02.636392+00:00,Beautiful Soup: Build a Web Scraper With Python,mbreuss,"gahjelle, jjablonski, asantos, jayazhane, mdriscoll, bzaczynski, jschmitt, bweleschuk",mbreuss,beautiful soup,True,"beautiful-soup-web-scraper-python, beautiful-soup-python-web-scraper",True,web-scraping-beautiful-soup,False,7551,"data-science, intermediate, seo-optimized, tools, web-scraping","{""python"": ""3.12"", ""requests"": ""2.32.3"", ""beautifulsoup4"": ""4.12.3""}",860,7,42419,254,458,2,0.6759123663616126,0.5661407552447547,26354297.675985,181714.842746,601.998668,660.781246,0.7083333333333334,0.5769230769230769,218.929997,183.561102,42877,256,0.010681717470905147,0.0078125,0.020057373416983465,0.02734375,109,2,111,0.9819819819819819,4.90990990990991
