id,slug,title,pub_date,author_username,word_count,has_quiz,url,stat_viewed,stat_viewed_l30d,stat_in_progress,stat_in_progress_l30d,stat_completed,stat_completed_l30d,stat_completion_rate,stat_completion_rate_l30d,stat_avg_progress,stat_avg_progress_l30d,stat_median_progress,stat_median_progress_l30d,stat_total_view_time,stat_total_view_time_l30d,stat_avg_view_time,stat_avg_view_time_l30d,stat_median_view_time,stat_median_view_time_l30d,stat_bookmarks,stat_bookmarks_l30d,stat_bookmark_rate,stat_bookmark_rate_l30d,rating_star_rating,rating_liked_count,rating_disliked_count,rating_total_count,rating_liked_ratio
1173,build-a-chatbot-python-chatterbot,ChatterBot: Build a Chatbot With Python,2026-05-06,mbreuss,6666,True,https://realpython.com/build-a-chatbot-python-chatterbot/,16165,703,16062,698,103,5,0.006371790906278998,0.007112375533428165,0.6050643307581229,0.5140900226757379,0.6,0.5,4272785.016912,144347.344814,259.917575,196.390945,83.174519,63.302233,283,27,0.0175069594803588,0.03840682788051209,4.166666666666667,35,7,42,0.8333333333333334
886,how-long-does-it-take-to-learn-python,How Long Does It Take to Learn Python?,2026-01-28,mbreuss,3746,True,https://realpython.com/how-long-does-it-take-to-learn-python/,3889,17,3672,17,217,0,0.05579840575983543,0.0,0.6784642131677722,0.5462067226890756,0.8666666666666667,0.5,1111514.016838,2815.795912,277.600903,165.635054,96.851131,51.879603,233,1,0.059912573926459246,0.058823529411764705,5.0,12,0,12,1.0
177,django-setup,How to Create a Django Project,2026-01-14,mbreuss,2703,True,https://realpython.com/django-setup/,10541,19,10081,19,460,0,0.04363912342282516,0.0,0.7060613245550235,0.6487714285714287,0.8333333333333334,0.625,2379994.733321,4139.634229,214.64599,197.125439,64.897464,64.421114,434,4,0.04117256427283939,0.21052631578947367,5.0,43,0,43,1.0
2067,popular-python-tutorials-2025,Learn From 2025's Most Popular Python Tutorials and Courses,2026-01-05,mbreuss,2184,True,https://realpython.com/popular-python-tutorials-2025/,1142,21,1132,20,10,1,0.008756567425569177,0.047619047619047616,0.5283814711429656,0.532448484848485,0.5454545454545454,0.6363636363636364,114272.14652,1100.734274,94.831657,52.415918,26.991922,28.299607,44,2,0.03852889667250438,0.09523809523809523,5.0,2,0,2,1.0
2059,python-news-december-2025,Lazy Imports Land in Python and Other Python News for December 2025,2025-12-08,mbreuss,3481,False,https://realpython.com/python-news-december-2025/,747,10,725,10,22,0,0.029451137884872823,0.0,0.5358808373590983,0.43913043478260877,0.4782608695652174,0.28260869565217395,162482.286607,1194.46235,207.512499,119.446235,78.590204,62.833051,16,0,0.0214190093708166,0.0,5.0,3,0,3,1.0
1917,python-news-july-2025,Free-Threaded Python Unleashed and Other Python News for July 2025,2025-07-07,mbreuss,2097,False,https://realpython.com/python-news-july-2025/,822,1,798,1,24,0,0.029197080291970802,0.0,0.6306047289504056,0.3125,0.75,0.0,172698.213988,217.851166,199.190558,72.617055,90.450629,0.003028,31,0,0.037712895377128956,0.0,5.0,1,0,1,1.0
110,modern-web-automation-with-python-and-selenium,Modern Web Automation With Python and Selenium,2025-04-30,mbreuss,13153,True,https://realpython.com/modern-web-automation-with-python-and-selenium/,11933,42,11806,42,127,0,0.01064275538422861,0.0,0.5992258485300834,0.46793962703962694,0.625,0.358974358974359,3617585.263919,21192.575241,295.120351,481.649437,75.813178,81.599267,395,1,0.033101483281655915,0.023809523809523808,3.333333333333333,14,7,21,0.6666666666666666
104,instance-class-and-static-methods-demystified,"Python's Instance, Class, and Static Methods Demystified",2025-03-17,mbreuss,3621,True,https://realpython.com/instance-class-and-static-methods-demystified/,31934,79,30940,74,994,5,0.031126698816308637,0.06329113924050633,0.7288629865360667,0.6008843373493973,0.75,0.75,9731493.199287,25053.089539,297.78131,301.844452,122.938661,90.152882,1106,5,0.03463393248575186,0.06329113924050633,4.631578947368421,88,7,95,0.9263157894736842
1827,python-join-string,How to Join Strings in Python,2025-02-10,mbreuss,4609,True,https://realpython.com/python-join-string/,1277,17,1160,14,117,3,0.09162098668754894,0.17647058823529413,0.5859069522279317,0.45428836565096964,0.6842105263157895,0.47368421052631576,415672.867101,5178.075058,309.510698,272.530266,79.267654,83.005934,71,0,0.05559906029757244,0.0,5.0,7,0,7,1.0
1700,python-split-string,How to Split a String in Python,2025-02-05,mbreuss,4905,True,https://realpython.com/python-split-string/,1900,44,1807,41,93,3,0.04894736842105263,0.06818181818181818,0.50583469902074,0.43332444444444446,0.375,0.25,360617.507389,4059.439338,181.762857,90.209763,46.666544,21.210982,104,0,0.05473684210526316,0.0,5.0,11,0,11,1.0
